"bh" "baixa" "moderada" "alta" "muito alta"
N1 0.88526141664508 0.0430557793546834 0.00896035050002958 0.062722453500207
N2 0.852545923273724 0.0461249099983836 0.0237359364821246 0.0775932302457677
N3 0.481241478621873 0.288440032476983 0.0480414234722797 0.115431162584065
N4 0.75135918999553 0.0555994469682007 0.0724164994750356 0.120624863561234
N5 0.807606023701912 0.070412799933478 0.0501097439077839 0.0718714324568257
N6 0.841878834896678 0.0654229197367493 0.0135819837342846 0.0791162616322879
N7 0.844676397686588 0.0625998347562655 0.0344946295786285 0.0582291379785183
N8 0.810600953918243 0.0909538089321435 0.0257171694352644 0.0727280677143492
N9 0.835479982453777 0.0841286124322588 0.0213490558543249 0.0590423492596392
S1 0.721599876389242 0.0572472325537762 0.041758638957255 0.179394252099727
S2 0.321567021770257 0.0421173702978552 0.0253324598430199 0.0784081631640201
S3 0.795899902869086 0.0542221841938055 0.0399995563351381 0.109878356601971
S4 0.780300145821629 0.0700609468731778 0.033096095832235 0.116542811472958
S5 0.707625752560566 0.0505351622846623 0.0654105877084084 0.176428497446363


